account_id,time_range,breakdowns,date_start,date_stop,ad_id,ad_name,campaign_id,campaign_name,adset_id,adset_name,spend,impressions,reach,frequency,clicks,unique_clicks,ctr,cpc,cpm,age,gender,actions_summary,action_values_summary
act_4157857287789311,last_3d,age|gender,2026-05-18,2026-05-20,6982452110852,0519-大预算测试组+素材,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,0.26,13,11,1.181818,2,1,15.384615,0.13,20,18-24,female,link_click=1|page_engagement=4|landing_page_view=1|post_engagement=4|video_view=3,
act_4157857287789311,last_3d,age|gender,2026-05-18,2026-05-20,6982452110852,0519-大预算测试组+素材,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,0.07,7,4,1.75,0,0,0,,10,18-24,male,,
act_4157857287789311,last_3d,age|gender,2026-05-18,2026-05-20,6982452110852,0519-大预算测试组+素材,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,6.3,236,192,1.229167,13,13,5.508475,0.484615,26.694915,25-34,female,link_click=6|page_engagement=79|landing_page_view=3|post_engagement=79|view_content=2|offsite_content_view_add_meta_leads=2|video_view=73,view_content=85.83
act_4157857287789311,last_3d,age|gender,2026-05-18,2026-05-20,6982452110852,0519-大预算测试组+素材,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,0.76,31,22,1.409091,0,0,0,,24.516129,25-34,male,page_engagement=3|post_engagement=3|video_view=3,
act_4157857287789311,last_3d,age|gender,2026-05-18,2026-05-20,6982452110852,0519-大预算测试组+素材,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,0.14,8,8,1,1,1,12.5,0.14,17.5,25-34,unknown,page_engagement=1|post_engagement=1|video_view=1,
act_4157857287789311,last_3d,age|gender,2026-05-18,2026-05-20,6982452110852,0519-大预算测试组+素材,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,27.34,1231,992,1.240927,67,47,5.442729,0.40806,22.209586,35-44,female,link_click=36|initiate_checkout=1|add_to_cart=14|page_engagement=358|landing_page_view=34|post_engagement=358|post_interaction_gross=4|post_interaction_net=4|view_content=41|onsite_conversion.post_net_like=4|offsite_content_view_add_meta_leads=41|video_view=318|post_reaction=4,add_to_cart=633.79|view_content=1804.29|initiate_checkout=42.99
act_4157857287789311,last_3d,age|gender,2026-05-18,2026-05-20,6982452110852,0519-大预算测试组+素材,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,1.83,73,60,1.216667,0,0,0,,25.068493,35-44,male,page_engagement=11|post_engagement=11|video_view=11,
act_4157857287789311,last_3d,age|gender,2026-05-18,2026-05-20,6982452110852,0519-大预算测试组+素材,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,0.49,29,25,1.16,2,2,6.896552,0.245,16.896552,35-44,unknown,page_engagement=8|post_engagement=8|video_view=8,
act_4157857287789311,last_3d,age|gender,2026-05-18,2026-05-20,6982452110852,0519-大预算测试组+素材,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,84.78,2904,2294,1.265911,198,154,6.818182,0.428182,29.194215,45-54,female,link_click=99|offsite_search_add_meta_leads=1|add_to_cart=20|page_engagement=897|landing_page_view=96|post_engagement=895|like=2|post_interaction_gross=7|post_interaction_net=7|view_content=114|onsite_conversion.post_save=1|onsite_conversion.post_net_save=1|onsite_conversion.post_net_like=6|offsite_content_view_add_meta_leads=114|search=1|video_view=789|post_reaction=6,add_to_cart=916.23|view_content=5113.17
act_4157857287789311,last_3d,age|gender,2026-05-18,2026-05-20,6982452110852,0519-大预算测试组+素材,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,2.13,133,111,1.198198,10,9,7.518797,0.213,16.015038,45-54,male,link_click=3|page_engagement=33|landing_page_view=3|post_engagement=33|view_content=1|offsite_content_view_add_meta_leads=1|video_view=30,view_content=39.99
