date_start,date_stop,hourly_stats_aggregated_by_advertiser_time_zone,account_id,account_name,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,impressions,clicks,unique_clicks,spend,reach,frequency,ctr,cpc,cpm,results,link_clicks,landing_page_views,page_engagement,post_engagement,video_views,add_to_cart,initiate_checkout,purchases,purchase_value
2026-05-16,2026-05-18,00:00:00 - 00:59:59,4157857287789311,Merino Protect Owned by Diyang,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,6973015953052,0507-大预算测试组-实拍多色混合,119,5,,2.52,,,4.201681,0.504,21.176471,,2,4,43,43,41,,,,
2026-05-16,2026-05-18,00:00:00 - 00:59:59,4157857287789311,Merino Protect Owned by Diyang,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,6976373137452,0511-加素材1条,1,0,,0.03,,,0,,30,,,,,,,,,,
2026-05-16,2026-05-18,01:00:00 - 01:59:59,4157857287789311,Merino Protect Owned by Diyang,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,6973015953052,0507-大预算测试组-实拍多色混合,122,5,,2.77,,,4.098361,0.554,22.704918,,3,3,45,45,42,,,,
2026-05-16,2026-05-18,01:00:00 - 01:59:59,4157857287789311,Merino Protect Owned by Diyang,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,6976373137452,0511-加素材1条,4,0,,0.28,,,0,,70,,,,3,3,3,,,,
2026-05-16,2026-05-18,02:00:00 - 02:59:59,4157857287789311,Merino Protect Owned by Diyang,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,6973015953052,0507-大预算测试组-实拍多色混合,191,10,,6.83,,,5.235602,0.683,35.759162,,6,3,70,70,64,,,,
2026-05-16,2026-05-18,02:00:00 - 02:59:59,4157857287789311,Merino Protect Owned by Diyang,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,6976373137452,0511-加素材1条,8,2,,0.27,,,25,0.135,33.75,,2,2,6,6,4,,,,
2026-05-16,2026-05-18,03:00:00 - 03:59:59,4157857287789311,Merino Protect Owned by Diyang,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,6973015953052,0507-大预算测试组-实拍多色混合,525,44,,14.47,,,8.380952,0.328864,27.561905,1,27,20,217,217,188,5,1,1,47.99
2026-05-16,2026-05-18,03:00:00 - 03:59:59,4157857287789311,Merino Protect Owned by Diyang,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,6976373137452,0511-加素材1条,31,1,,2.47,,,3.225806,2.47,79.677419,,1,1,14,14,13,,,,
2026-05-16,2026-05-18,04:00:00 - 04:59:59,4157857287789311,Merino Protect Owned by Diyang,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,6973015953052,0507-大预算测试组-实拍多色混合,1093,96,,36.43,,,8.783166,0.379479,33.330284,,58,46,449,448,388,8,,,
2026-05-16,2026-05-18,04:00:00 - 04:59:59,4157857287789311,Merino Protect Owned by Diyang,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,6973021121252,0507-大预算测试组-女白模视频单色,1,0,,0.02,,,0,,20,,,,1,1,1,,,,
2026-05-16,2026-05-18,04:00:00 - 04:59:59,4157857287789311,Merino Protect Owned by Diyang,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,6976373137452,0511-加素材1条,0,0,,0,,,,,,,,,,,,1,,,
2026-05-16,2026-05-18,05:00:00 - 05:59:59,4157857287789311,Merino Protect Owned by Diyang,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,6973015953052,0507-大预算测试组-实拍多色混合,1445,114,,50.64,,,7.889273,0.444211,35.044983,3,67,70,537,537,469,7,6,3,97.98
2026-05-16,2026-05-18,05:00:00 - 05:59:59,4157857287789311,Merino Protect Owned by Diyang,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,6973021121252,0507-大预算测试组-女白模视频单色,6,2,,0.28,,,33.333333,0.14,46.666667,,1,1,4,4,3,,,,
2026-05-16,2026-05-18,05:00:00 - 05:59:59,4157857287789311,Merino Protect Owned by Diyang,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,6976373137452,0511-加素材1条,3,1,,0.25,,,33.333333,0.25,83.333333,,1,1,3,3,2,,,,
2026-05-16,2026-05-18,06:00:00 - 06:59:59,4157857287789311,Merino Protect Owned by Diyang,6938541188052,0323-新素材测试-打底衣+袜子,6973015953252,0507-大预算测试组,6973015953052,0507-大预算测试组-实拍多色混合,1375,82,,40.18,,,5.963636,0.49,29.221818,,53,54,486,486,432,2,2,,
