region,Spend,CPM,Spend2,CPM2,Spend1/Spend2,CPM1/CPM2
Texas,109.75,50.23,5.64,45.12,19.459,1.113
Illinois,80.67,49.77,3.44,49.14,23.451,1.013
California,78.73,53.67,18.35,55.44,4.290,0.968
Ohio,47.83,46.35,2.91,57.06,16.436,0.812
Minnesota,51.25,50.30,1.79,30.86,28.631,1.630
New York,41.65,41.78,5.26,56.56,7.918,0.739
Washington,48.73,48.93,4.62,35.00,10.548,1.398
Michigan,58.42,58.89,4.40,81.48,13.277,0.723
Wisconsin,38.78,44.32,1.85,36.27,20.962,1.222
Oregon,26.44,42.51,2.90,40.85,9.117,1.041
Colorado,26.87,43.84,3.34,47.04,8.045,0.932
Arizona,29.06,49.85,3.60,56.25,8.072,0.886
Florida,28.19,50.89,5.52,44.52,5.107,1.143
Indiana,27.26,52.03,3.79,130.69,7.193,0.398
Missouri,21.31,44.96,0.81,36.82,26.309,1.221
North Carolina,17.87,45.13,3.52,52.54,5.077,0.859
Virginia,18.21,46.22,2.13,34.35,8.549,1.346
Pennsylvania,16.77,43.34,3.84,59.08,4.367,0.734
Massachusetts,21.61,58.25,1.74,42.44,12.420,1.373
Iowa,11.74,37.04,0.26,21.67,45.154,1.709
Nevada,14.65,68.46,0.63,31.50,23.254,2.173
Alaska,8.16,38.86,1.94,66.90,4.206,0.581
Tennessee,7.53,37.28,2.47,66.76,3.049,0.558
Georgia,10.89,55.28,0.78,20.53,13.962,2.693
Nebraska,7.86,41.15,0.24,21.82,32.750,1.886
Utah,9.77,51.42,2.69,76.86,3.632,0.669
New Jersey,9.57,52.59,1.07,33.44,8.944,1.573
Kansas,7.31,41.77,1.41,54.23,5.184,0.770
New Mexico,7.55,44.68,0.55,25.00,13.727,1.787
Connecticut,9.49,58.95,1.73,46.76,5.486,1.261
Idaho,6.21,42.25,1.00,40.00,6.210,1.056
Hawaii,5.70,47.11,1.98,86.09,2.879,0.547
New Hampshire,4.89,47.02,0.77,32.08,6.351,1.466
South Carolina,5.05,52.06,0.83,34.58,6.084,1.505
Alabama,3.17,35.62,1.34,55.83,2.366,0.638
Vermont,3.54,44.25,0.32,29.09,11.063,1.521
Kentucky,3.16,45.15,0.30,17.65,10.533,2.558
Arkansas,2.32,52.73,0.23,28.75,10.087,1.834
Rhode Island,1.78,46.84,0.48,53.33,3.708,0.878
West Virginia,1.34,36.22,0.09,11.25,14.889,3.220
Delaware,1.53,42.50,0.07,23.33,21.857,1.822
Maryland,0.16,20.00,1.00,21.28,0.160,0.940
Maine,0.20,28.57,0.49,22.27,0.408,1.283
"Washington, District of Columbia",0.12,24.00,0.08,40.00,1.500,0.600
Wyoming,0.12,30.00,0.05,25.00,2.400,1.200
Louisiana,0.11,36.67,0.99,58.24,0.111,0.630
Montana,0.07,23.33,1.24,88.57,0.056,0.263
South Dakota,0.04,13.33,0.63,157.50,0.063,0.085
Oklahoma,0.01,5.00,0.39,35.45,0.026,0.141
North Dakota,0.01,10.00,0.48,96.00,0.021,0.104
Mississippi,,,0.12,20.00,,
